icrogidA	icrogidB	w
247872	5299633	0.861
2613246	5121081	0.431
5087456	6842	0.997
14005669	1885413	0.191
16816000	4602540	0.644
16823354	5821236	0.676
3768719	4867047	0.191
1661851	2887311	0.744
1879716	5405576	1
2289591	899063	0.431
4299381	5403817	0.676
1551221	5175554	0.191
14006660	4803389	0.28
512061	821803	0.482
1368998	5165533	0.28
3572785	9378084	0.798
4398609	5373343	0.431
3363510	4157895	0.431
3476704	3883332	0.854
3530844	49873929	0.28
1777720	2544648	0.55
2232959	3151042	0.6
10013539	3261367	0.55
11792364	1413322	0.431
2229096	3498834	0.54
3095898	5295829	0.28
3299839	3908752	0.28
1749544	857930	0.28
5406245	5826577	0.36
9378084	9768717	0.431
1160340	5841055	0.36
3664820	900017	0.494
138114	961525	0.494
2841951	705880	0.431
4724590	628054	0.994
14005669	343518	1
1368998	160280	0.36
33660469	632859	0.431
1401435	2343933	0.431
3567951	3691852	0.418
10013539	4600608	0.431
2681838	3095898	0.705
14008073	4321288	0.36
1300297	4026577	0.874
11392505	176450	0.89
3768719	567051	0.6
2114427	964752	0.921
2217113	4602573	0.28
2668499	5017558	0.874
14006193	468877	0.431
4012737	4385449	0.55
1300297	3766206	0.431
2668499	5400483	0.974
3653750	629215	0.54
16823354	5259329	0.987
4258047	856398	0.494
2068280	4883842	0.47
14007162	508054	0.871
1031192	899337	0.191
1715276	1764939	0.431
16816000	512390	0.719
4821148	5408864	0.191
1923050	459368	0.431
390328	5363969	0.431
1007949	3330644	0.431
11792364	857930	0.431
2229096	4280011	0.55
342056	5219859	0.431
3894658	447849	0.431
1872388	5207613	0.28
2090101	5017378	0.28
4384113	762139	0.36
2089354	4411179	0.191
5344554	5435096	0.28
2607334	3176249	0.431
4527687	5255272	0.28
3829664	5310733	0.482
1859715	3553333	0.28
2406289	799425	0.431
1742788	4166863	0.644
1774935	4546350	0.431
4888960	5094002	0.9
1979966	2271732	0.28
5406245	625729	0.28
3371469	3614980	0.99
1264167	2226806	0.28
1223735	781714	0.28
16816000	3607869	0.28
2229473	4867422	0.431
2606053	3691852	0.911
11793640	923511	0.28
150828	5006443	0.494
1066885	799425	0.28
3837793	3993169	0.55
3410334	875318	0.431
1361333	1502902	0.983
2681838	3723605	0.55
10012887	4453536	0.55
3515018	4855352	0.55
1226600	1393325	0.431
4874921	5247574	0.28
459368	856398	0.191
1020765	856398	0.191
1066643	4384113	0.36
5310733	607323	0.191
4305018	475613	0.191
1223735	2572200	0.28
3010888	4280011	0.55
508037	9443110	0.854
2334298	2499314	0.36
1593552	4492196	0.28
5136719	5406245	0.36
3643191	5820940	0.84
5821236	765978	0.191
1453300	3223677	0.431
3962824	508037	0.431
508037	835716	0.431
1954208	4859816	0.36
2601413	4264365	0.719
16825874	5275746	0.431
2930252	4600608	0.719
3974092	645993	0.719
4384113	498105	0.36
3363510	4563998	0.431
901639	961525	0.494
2281858	33800199	0.931
2946713	3330644	0.431
1636625	5306648	0.191
1273502	14005766	0.36
457052	638045	0.55
73857	9378084	0.482
2791218	5296482	0.431
2068280	2613246	0.935
1757092	5828243	0.431
5002301	5289096	0.767
10013539	2888723	0.772
2929543	44533464	0.824
468848	9769331	0.431
4977455	9148179	0.28
2961203	44533464	0.28
4048302	899063	0.28
4919255	532535	0.824
4374234	5155720	0.28
5338672	820620	0.767
5342160	703905	0.89
2300358	468877	0.28
145803	2163839	0.744
732526	9213487	0.28
10013539	2930252	0.964
1872388	4280011	0.55
2852138	3008487	0.431
1211564	3691852	0.949
1186808	4732287	0.591
155650	5346853	0.591
468877	5207613	0.644
2068280	2161896	0.345
5123142	5250584	0.431
1384984	1496922	0.911
3427613	4926237	1
3896672	456446	0.529
2222878	3249479	0.627
4803728	5247574	0.28
10012887	1005634	0.55
1947840	44533464	0.36
2607334	4340096	0.973
16819156	1960370	0.998
1373290	4990573	0.778
14007299	5080156	0.36
1528451	545552	0.28
2443530	737582	0.84
2791218	5175554	0.431
2223151	3363510	0.28
3363510	5155720	0.431
14007162	2761732	0.55
14005925	3484806	1
3768719	496338	0.719
16832553	783937	0.36
14006980	2609893	0.431
2075788	886779	0.798
5054826	5219859	0.28
1528451	3876838	0.676
2903174	4861001	0.55
4071702	5345783	0.993
14006085	4000348	0.431
1001137	271062	0.824
222771	5204010	0.55
1226600	3691852	0.82
2138316	4084583	0.191
1183784	602537	0.55
1396470	9378084	0.28
3805630	923511	0.431
1786926	3768719	0.36
1466236	1815096	0.28
2079075	3468541	0.824
5367138	842303	0.778
163867	399772	0.946
4687717	4965595	0.191
3299839	396939	0.28
2444766	4264365	0.902
1263226	3489875	0.767
5406245	646435	0.36
2019126	782598	0.996
5095552	9378084	0.28
2596377	2903174	0.55
2682300	5346853	0.84
4154210	4692488	0.676
1975704	3476704	0.28
10013539	2674173	0.36
10012887	5231284	0.676
2222878	4977455	0.94
4280011	4670892	0.431
1208032	886751	0.744
1952111	3502869	0.36
2668400	856398	0.191
4306279	5097775	0.28
1548195	38493754	0.28
1160340	4705467	0.28
3427613	746078	0.744
1586754	508037	0.591
3960548	53381	0.816
5406706	961525	0.494
2562975	3309762	0.191
2451498	3832451	0.719
2303396	508037	0.28
2366469	4713146	0.885
4577390	5295829	0.767
3691852	4154210	0.783
459368	4949991	0.191
1976916	2164965	0.36
14005570	557807	0.6
3570634	5353143	0.36
2430328	4127742	0.968
1144846	3572785	0.55
2232959	9442276	0.6
508037	9650725	0.431
1937442	2248140	0.767
2183118	5344554	0.28
2458978	4889250	0.431
1365685	532535	0.55
2435434	3740798	0.28
254716	4204790	0.591
1368998	5155720	0.55
1637096	4595183	1
10013539	642705	0.431
3202052	656326	0.28
1885413	2639679	0.482
3895614	5309542	0.997
2253502	2435434	0.28
3290342	396939	0.28
4887610	717706	0.28
3736508	4280011	0.719
4831004	5247574	0.28
1447330	5118416	0.55
3371469	4720804	0.798
2784563	5355879	0.969
16822233	2503088	0.431
14007162	193246	0.676
2232959	4414452	0.636
2981808	3468541	0.55
1143071	5309542	1
2092370	2436210	0.191
3410334	3476704	0.944
2903058	2951619	0.55
2334209	3740662	0.55
1223735	3235867	0.744
4739027	4789076	0.788
4374234	4883227	0.191
1234603	5828243	0.36
2318708	2562975	0.684
16826005	5279905	0.798
1409948	597241	0.644
3736508	781714	0.28
4847880	5406245	0.36
2639679	2756095	0.867
2112836	2135848	0.28
1136337	5298951	0.28
3469807	799425	0.418
1735580	4821148	0.669
504941	629682	0.28
2899340	817658	0.28
3677937	3926876	0.54
3672846	3875217	0.431
1797606	2068280	0.28
1297190	857930	0.921
14006367	781714	0.778
2309550	4997343	0.591
10012887	3530844	0.28
382851	4676702	0.28
1688346	3095898	0.816
3568257	5821236	0.482
14007299	819961	0.36
1562406	4572002	0.431
5821236	631530	0.905
3925064	3928954	0.99
247872	4504545	0.431
2807948	4367092	0.778
163867	1911268	0.997
1810929	781714	0.854
235547	3083997	0.55
10013539	14007198	0.798
2186087	715083	0.961
1593552	3076419	0.28
14005899	14007381	0.431
2430019	366730	0.431
4652501	821803	0.431
4705467	506434	0.482
1777720	845754	0.978
4563998	9378084	0.824
4053865	961525	0.28
3867443	646633	0.191
1223735	3372819	0.28
1894250	5118416	0.191
2857086	5357	0.28
14007162	2836457	0.719
3083997	4969520	0.55
32928829	3638597	0.719
1056530	3410334	0.431
50883148	5305967	0.431
4010022	4835623	0.28
1661851	5338431	0.55
4361819	961525	0.494
1183784	556845	0.482
3992024	4280011	0.191
14005648	2260078	0.431
2903058	4529228	0.719
1393325	4846532	0.28
3359515	4813583	0.191
1180921	872778	0.28
1931944	3594045	0.28
547668	656326	0.28
2222878	5418403	0.591
3962824	5373343	0.431
4152408	966425	0.55
2903058	3710129	0.55
4465993	64717	0.54
722955	820620	0.955
5220377	886779	0.431
3468541	3502869	0.744
168143	2853952	0.28
4468330	4853171	0.482
14008341	562452	0.28
5175554	618017	0.933
4531310	4995933	0.28
3754565	763391	0.676
2086336	5400871	0.998
4154210	4664766	0.591
1651152	4704365	0.28
4810370	5032510	0.719
1210034	3378486	0.431
1939536	641233	0.28
3621324	4010022	0.431
1180601	2704923	0.28
5038017	986959	0.36
4625451	4670894	0.28
2899451	4895088	0.28
3034498	4166863	0.6
1361333	2244113	0.28
2930252	3077030	0.968
562215	9148535	0.431
377527	3992024	0.911
1979966	276251	0.28
2889070	3363510	0.55
14007248	5368339	0.36
3290342	3666283	0.28
3371469	899063	0.431
1103259	4859013	0.418
1991355	5821236	0.874
1438735	4384113	0.36
2151162	5001936	0.778
1879716	781714	0.28
1386965	2812442	0.55
1386965	1904421	0.591
1000350	2138316	0.191
1688346	3527425	0.988
1224042	2232959	0.636
105171	707837	0.36
4821148	4855352	0.772
1756731	961525	0.431
717706	907507	0.28
4465042	5433705	0.191
3768719	9213367	0.844
3768719	4022643	0.778
44533464	5008875	0.36
2068280	532535	0.888
377527	618825	0.36
5298951	5406538	0.191
2901459	717494	0.719
4304488	606323	0.28
14005669	2334209	0.191
10013877	475613	0.191
1972215	2485554	0.28
1235005	2478674	0.992
2138316	5267677	0.191
2444766	4919315	0.644
3371469	4990349	0.712
1143071	2068280	0.75
1970718	2636887	0.591
130445	4389571	0.858
3739863	39672846	0.28
1160340	5295829	0.28
3113313	5413303	0.36
2374256	4370738	0.684
16816556	821803	0.431
2853952	3698509	0.28
4280011	4656121	0.431
1201603	2266822	0.943
4198863	5081339	0.644
390328	402740	0.6
2191274	3497107	0.644
2119668	4411179	0.191
5310733	562215	0.191
386715	5062028	1
1660206	4411179	0.191
3553333	5162718	0.28
1109800	4687717	0.55
4366513	5821236	0.998
2178303	468877	0.6
14008245	2493918	0.36
3468541	4765909	0.719
4165786	5175554	0.418
3326851	4331029	0.931
3572785	4374234	0.984
1562406	2349500	0.431
1746419	4340619	0.191
14007633	886779	0.431
5322319	886779	0.55
44533464	4456777	0.28
2266085	3262102	0.6
3371469	4662323	0.55
5821236	9644898	0.55
11392505	886779	0.824
4625451	5074778	0.28
4811603	5305920	0.494
14005648	857930	0.28
2053332	9768954	0.431
1223735	5223294	0.744
5202298	562215	0.431
2168044	5202298	0.644
1688346	5062028	0.676
1203457	3851014	0.28
2374625	4625451	0.719
5026329	961525	0.28
1396470	3939116	0.28
3371299	961525	0.28
3211116	44533464	0.28
3291109	5821236	0.644
3992024	4731516	0.36
4137928	799425	0.28
1423899	762977	0.28
3503650	4935615	0.719
2135848	2181540	0.28
16823354	4157895	0.55
2284410	5118416	0.999
1535511	1613993	0.767
2243831	508037	0.28
1535511	3725670	0.55
1991355	722955	0.431
2991792	9378742	0.28
2887311	2999614	0.28
3433603	5344554	0.431
2521136	508062	0.28
1885413	3610589	0.482
1144108	5344554	0.431
2963834	4424310	0.431
2183154	9378745	0.684
4321288	5302676	0.36
5153790	799425	0.28
3209564	3660892	0.28
2993918	3160777	0.431
4331029	508037	0.591
3572785	781714	0.28
3167529	4007328	0.28
2068280	3201350	0.898
1167288	238715	0.55
4251325	532535	0.431
1386965	3927032	0.955
1593552	3572785	0.55
2768047	325423	0.644
1576328	5295762	0.482
2592694	44533464	0.28
4424310	4876235	0.431
1368998	4790412	0.861
327364	4789076	1
3572785	762977	0.998
1396470	3506761	0.719
3606465	5049430	0.719
2572200	886751	0.885
3059970	3993169	0.55
4713146	746078	0.705
3883332	5821236	0.971
4280011	5406538	0.28
13660440	886779	0.431
5821236	9650703	0.762
1400094	4949185	0.854
3209348	4021	0.28
1377691	4384113	0.6
1700717	4065204	0.902
2038544	4895088	0.55
3427613	5315452	0.874
1447330	9378084	0.55
1368998	5364446	0.28
2550189	5272060	0.719
3887183	909182	0.431
2142605	5322370	0.36
1256459	961525	0.431
1235047	4676702	0.28
5038017	899063	0.28
4424310	5408343	0.946
14007248	3243741	0.36
1442115	813561	0.28
2613246	5093917	0.28
14005602	2681838	0.28
1386965	4327650	0.28
4296376	857930	0.993
3165461	4306321	0.431
2138316	4032794	0.54
4242856	4948675	0.669
3371469	4629164	0.55
52499505	932032	0.28
2168149	886751	0.55
4424305	4957959	0.28
14007162	14007732	0.28
2161828	5124507	0.36
4625451	9378084	1
14007381	2068280	0.28
2229096	5298951	0.591
5369795	882993	0.963
2127495	3083997	0.55
3896458	44533464	0.494
1017070	2741116	0.28
2151162	5330805	0.55
14007299	3207314	0.36
506434	673339	0.644
4010022	4254495	0.28
2791218	5350606	0.191
1109800	3096373	0.55
4911894	850068	0.976
2068280	3427773	0.345
9378478	958086	0.913
3594045	5290795	0.28
3087482	673339	0.431
2870192	821803	0.28
2127495	4969520	0.983
1001137	2068280	0.636
2246861	632859	0.431
1361333	820620	0.28
5334182	9378084	0.431
5315941	797034	1
2605679	48221620	0.28
4796154	961525	0.36
3329408	4012737	0.28
4261128	4608423	0.55
1154557	14008088	0.431
1368998	1562406	0.885
14006367	508037	0.55
151491	5093917	0.28
11936467	4531310	0.28
31292	4524269	0.191
2853952	859181	0.28
16822233	3078719	0.28
1743659	248458	0.719
16816000	3665095	0.28
2677230	5821236	0.676
1160340	468877	0.431
4020056	5177449	0.36
3431532	991650	0.191
2166278	4625451	0.28
1223735	1820393	0.939
2753834	4391787	0.28
2623348	3740662	0.55
1160340	673339	0.431
3221897	662837	1
3725670	5175554	0.28
1740042	506434	0.719
390328	4752727	0.798
2395878	3363510	0.966
16822233	4928325	0.431
2303396	3321411	0.28
14006253	2135848	0.28
14007248	4279988	0.191
2973208	3221897	0.431
16368455	4754680	0.28
1186808	3240773	0.55
11392505	1424408	0.89
2579349	3252138	0.913
1226600	3503650	0.431
14008248	910608	0.636
3027803	4196970	0.28
1960858	3756065	0.431
2991792	5231284	0.738
1400094	2703194	0.55
1054200	14006330	0.191
4280011	662837	0.55
1629380	4570731	0.28
10013539	3095898	0.824
1077593	966425	0.824
165186	882993	0.28
22827162	3607869	0.482
16821974	3076419	0.816
10013539	820620	0.28
2768047	923511	0.971
5821236	820620	0.705
202100	2322933	0.992
4303804	77315	0.719
463371	5118416	0.191
1144918	2623348	0.431
886779	933802	0.719
2497115	525775	0.55
4913783	4922591	0.36
5316083	961525	0.494
2155475	30173390	0.191
4010022	4251325	0.431
2916299	343518	0.191
14005522	4616280	0.816
375949	4650657	0.482
2295777	2724577	0.431
2654709	38321126	0.28
4368864	532535	0.28
2229312	2232959	0.191
488952	56855	0.482
2503088	857930	0.28
482626	5118416	0.191
2251277	483984	0.431
2031279	961525	0.494
2080390	4403502	0.591
222539	3290342	0.431
2903174	685046	0.191
4468330	5062028	0.732
3754565	9769331	0.431
1251604	3307024	0.28
4450319	4465042	0.191
2123403	4698162	0.591
3572785	4048302	0.55
5376339	886779	0.798
5199023	5309542	0.996
110906	150828	0.36
1442115	4713146	0.28
5125341	5175554	0.191
1379409	5175554	0.191
1333459	5310733	0.191
14007248	94693	0.191
1336948	4154210	0.644
16823354	3964106	0.9
3016516	5168090	0.28
2068280	3519867	0.93
1001137	9147737	0.885
2973208	3647669	1
4980535	5345783	0.997
3805630	781714	0.431
4434473	5290795	0.999
1700717	4370738	1
2602138	3371469	0.55
11792199	9442996	0.431
1529623	961525	0.494
3465227	4280011	0.9
14006330	2157358	0.191
1155601	1180573	0.644
1368998	1991355	0.798
1386965	454945	0.482
394706	5336713	0.36
3363510	806588	0.28
3107076	5345783	0.921
4600608	4804264	0.719
4605542	510062	0.28
3876838	722955	0.28
2991792	5395599	0.55
16820919	4829377	0.644
2246861	3805630	0.431
1562406	1615709	0.676
16832553	751836	0.36
1572217	2742570	0.925
2068280	4629944	0.482
1872388	2458978	0.28
1407742	3691852	0.28
1871880	4154210	0.581
3262102	5400871	0.627
3653674	4683914	0.644
232848	5235010	0.977
5219859	821803	0.431
4674330	4859013	0.431
1393325	886779	0.644
420010	4476322	0.885
2068280	488952	1
3267849	5310733	0.191
1301136	1976916	0.888
1727907	9214253	0.431
4519275	5413323	0.36
5074778	53381	0.644
1885413	5342160	0.55
488952	4925944	0.431
309920	3484806	0.999
1526722	174486	0.36
2901459	997677	0.28
1279386	4004555	0.431
1214245	2186087	0.644
2413448	5300147	0.885
2886402	468877	0.964
4231085	5202298	0.28
2662282	2930252	0.431
2068280	46235387	0.28
375982	4687717	0.902
1991355	2951619	0.36
2623348	763391	0.28
3614980	4724590	1
3407528	4403502	0.6
16823354	3290342	0.28
14006367	4303804	0.798
2768047	4154210	0.55
406599	66889	0.744
4724590	5186717	0.28
2547485	5290795	0.54
38508109	5138521	0.28
2279217	961525	0.431
3116361	5356665	0.431
2853952	433788	0.28
1105775	16832553	0.36
2237342	5400871	0.431
2633152	44533464	0.36
14006367	4640336	0.684
5001936	5322319	0.798
2993587	35930620	0.28
4859510	717706	0.28
421939	5406538	0.191
16815387	872778	0.431
1103259	5397065	0.482
1948132	62083	0.28
14005899	9443018	0.431
394706	5322370	0.36
1695600	5175554	0.494
4411366	5001936	0.861
2807626	4280011	0.28
3691852	9644674	0.988
1274382	3326851	0.431
4340619	5343965	0.669
1302547	961525	0.431
381022	457052	0.28
14007248	5098314	0.36
2430328	2631030	0.885
1038848	4200947	0.431
5821236	649743	0.984
3539144	4743247	0.55
2223151	2639679	0.36
1030338	3720467	0.28
10886329	3283377	0.89
1615709	3792106	0.816
3902815	483984	0.431
2083017	2544648	0.996
2878257	492000	0.54
233647	5413303	0.191
1368998	910608	0.55
3584968	508037	0.28
1007504	1979966	0.28
5406538	9147737	0.191
14007140	2527179	0.28
3660000	4197396	0.431
717706	780760	0.28
2973208	3476704	0.992
2623348	2930252	0.644
2232959	4180137	0.36
2459288	4425759	0.191
2443530	2551919	0.345
2038544	5247574	0.431
1538112	2068280	0.973
4157895	5219859	0.55
2547906	5841055	0.55
2929543	4303895	1
411581	5330805	0.28
4625948	4739027	0.767
2721163	980096	0.191
2068280	2077694	0.28
4370738	4577390	0.999
1651152	856398	0.191
201818	4280011	0.431
44533464	5155720	0.55
1734411	2930252	0.591
3788150	5342160	0.55
4456845	882993	0.744
14005522	3018299	0.431
4987135	5309392	0.431
14006253	2033762	0.55
1593552	3272118	0.644
14007162	3091096	0.676
186242	4450319	0.55
4154210	4521981	0.719
2495347	977673	0.36
394706	4892140	0.494
2368573	863768	0.28
3221897	4434473	1
512231	9213487	0.431
5310672	644655	0.191
1638228	4687717	0.36
222771	5190951	0.28
14006088	5406538	0.191
10013539	2662282	0.935
4000906	4377376	1
2296393	532535	0.767
3945031	402740	0.89
1981907	2991792	0.28
488952	5152138	0.55
1885413	2991792	0.28
1447330	3262102	0.28
3571004	3925064	0.968
1368998	4157895	0.627
4874921	5001936	0.191
1444291	163867	0.55
385389	5135943	0.191
3221897	4683502	0.998
235547	5049430	0.28
5175554	875557	0.772
34915679	475613	0.191
3754565	4973930	0.28
2494598	4206283	1
1368998	813561	0.54
3372819	5345783	0.988
1708711	961525	0.431
1743497	5399179	0.719
1034179	3868657	0.719
2479812	3691852	0.962
1820393	4280011	0.28
2521025	780760	0.28
1925572	44533464	0.28
1976916	2482188	0.191
3290342	4337063	0.28
5175554	5278338	0.191
11793525	2214569	0.494
1149084	1976916	1
5164947	532535	0.431
16822233	4278383	0.28
1183784	574047	0.55
3756065	4572002	0.719
4251563	961525	1
1976916	2138316	0.191
3198867	3838985	0.983
16823354	2068280	0.418
1581317	5306648	0.55
5345097	961525	0.494
34242838	448835	0.55
1251604	4692488	0.55
1688346	2467308	0.627
16823354	4717503	0.854
3895614	5079244	0.75
390328	5278338	0.744
11936467	506434	0.28
1586754	488952	0.28
3305883	3660000	0.431
1762735	1872388	0.28
1976916	532536	0.96
1128724	4442839	0.28
3899504	4802528	1
4450319	4479773	0.55
1836364	820620	0.719
1894256	4815127	0.778
299897	4154210	0.973
2985788	4088746	0.28
1609364	3768719	0.6
1593552	4056799	0.28
174486	2183391	0.36
44533464	532535	0.28
1976916	857930	0.55
2681838	855318	0.431
5049941	5118416	0.191
4157895	9378084	0.431
3805630	44533464	0.6
4494720	4965595	0.431
1144846	1762735	0.55
14006282	2443530	0.84
1636625	5350606	0.191
532535	5435085	0.28
1368998	4810370	0.885
1734411	3756065	0.28
1926454	3997538	0.28
14006253	3739030	0.55
4853171	5062028	1
1975704	820620	0.719
3925064	427442	0.999
2178303	4739027	0.854
10012887	3534885	0.28
4010022	562215	0.482
129590	3572785	0.28
2521025	394568	0.431
2575331	4959794	0.55
1117410	3315027	0.28
5345783	829274	0.964
2768047	5207620	0.971
3522631	5017378	0.28
1368998	488952	0.28
4652501	9768717	0.55
10013539	5373343	0.772
1877037	4107873	0.28
532535	864205	0.778
3665617	508037	0.28
3725197	5247574	0.732
4411179	829274	0.191
3209988	4754680	0.28
468877	882993	0.943
1373290	886751	0.719
3329408	3409841	0.431
3427613	4462918	0.55
2334209	2623348	0.191
44179243	711574	0.431
3410334	4977455	0.712
4290940	4468330	0.431
2930252	5365212	0.482
14005396	862206	0.946
3691852	5288183	0.943
290949	5345783	0.996
102816	4358771	0.431
3330644	5186717	0.591
5821236	907507	0.431
1562406	2296393	0.719
14005670	4266016	0.55
4604599	4776726	0.431
3257023	5357	0.28
1994022	5821236	0.974
3544711	4155404	0.992
3961897	411581	0.644
1380386	2178199	0.28
1193583	5124507	0.28
10012889	4909940	0.431
2240228	4491293	0.778
2981298	886779	0.55
3290342	5397303	0.851
1615709	290949	0.705
3413748	4038294	0.28
4450319	861279	0.431
4154210	5068079	0.55
10013539	1791003	0.431
3299839	4680095	0.591
1210034	2748775	0.28
2671136	864205	0.28
1924267	468848	0.28
11792364	4038294	0.431
1661851	2001408	0.28
2246861	2304613	0.431
1023703	631530	0.988
1386965	4600608	0.719
16832758	5413303	0.36
14006660	2068280	0.963
1086346	2152914	0.75
2087513	2616375	0.55
10012887	504941	0.816
14006367	506434	0.28
3786505	5297401	0.28
14005670	2232959	0.36
3371469	3908752	0.946
1836364	222319	0.431
133535	781714	0.644
10013551	5250584	0.778
2915830	5821236	0.974
2963834	4154210	0.55
230776	3431532	0.191
5280551	5295829	0.28
2755793	3895614	0.431
2178303	4056103	0.874
2157967	3832451	0.431
2556870	3091868	0.55
2522121	4403502	0.36
1458307	456446	0.28
1742788	4501647	0.28
1542121	886751	0.431
710334	882993	0.431
1386965	548010	0.84
2207592	4977455	0.928
1386965	57073	0.431
2079429	3691852	0.28
1656791	4005046	0.55
4108126	508037	0.28
3792106	781714	0.767
321631	4527687	0.55
1368998	749621	0.431
1818620	4889250	0.431
5207061	62415	0.28
1346174	4272706	0.84
14007177	4042785	0.28
4770079	4789076	0.28
1180921	2244777	0.954
4851841	5413323	0.36
3653532	57073	0.431
14005810	3470416	0.418
327933	3438169	0.9
233647	5070731	0.877
1904276	3992024	0.36
4122454	732526	0.431
3470416	4411179	0.55
3143545	5247574	0.431
2930252	9378084	0.431
2971779	5345783	0.997
4717061	961525	0.494
2636147	5038017	0.36
4874921	856398	0.191
2191992	2853952	0.28
4067378	685046	0.191
116262	2973208	0.84
2681838	4810370	0.482
2607334	3415859	0.431
1762735	4889250	0.778
14006253	1850984	0.591
2296393	2753834	0.55
2899128	57073	0.28
1661851	3092370	0.28
3510534	406599	0.191
16822942	865149	0.36
5125341	5353143	0.36
1165658	875318	0.28
3965586	750534	0.28
3410334	5038017	0.431
343518	4280011	0.84
1302547	16822233	0.719
3556920	488952	0.28
1401697	3691852	0.28
5001936	856398	0.191
2532786	961525	0.28
10013551	4815127	0.778
4811603	4813583	0.191
3344382	3691852	0.431
2639679	5155720	0.98
3905377	5313780	0.28
3329408	4010022	0.482
14006367	2600424	0.719
385389	5821236	0.418
2694002	3758210	0.913
5096654	532535	0.431
150828	4334038	0.36
1873263	5821236	0.191
2607334	2650406	0.28
14006367	3584617	0.644
2289591	4223735	0.55
16832553	5277127	0.36
2556870	5317240	0.28
16822233	1960612	0.55
14007438	4717503	0.861
4909096	655876	0.431
3699097	5398655	0.494
1143071	1832515	1
1053870	1644162	0.191
2068280	3632522	0.772
4527687	4859013	0.55
1496922	3643191	0.191
1144846	1586754	0.28
16832553	2459568	0.36
1386965	2222878	0.55
2430328	749723	0.955
1668278	5344554	0.28
1742788	2841623	0.28
2572815	2899340	0.861
2068280	3902815	0.345
4664969	5032355	0.28
1593552	62083	0.28
1655201	717706	0.28
2681838	899063	0.36
5364390	961525	0.28
2166278	5310733	0.418
3829664	4707448	0.431
1202600	5821236	0.191
2392885	3747743	0.28
4977455	5095552	0.28
3993169	554160	0.55
172914	411581	0.644
3529144	5240249	0.28
5325757	964752	0.482
1557479	16822233	0.55
4452356	4883806	0.28
11792364	3908752	0.55
1160340	3201350	0.913
2562975	2679416	0.431
14007248	5279905	0.36
1442115	430034	0.28
221523	4789076	0.943
41970333	4499865	0.28
14005585	3574648	0.591
133535	532535	0.431
3992024	687228	0.36
1431652	781714	0.431
1730453	5128095	0.55
3691852	4948675	0.928
3926876	5276157	0.832
2600424	3283605	0.28
5118416	513841	0.191
193246	3502869	0.719
1661851	4029999	0.431
3076419	425156	0.28
4071702	5400871	0.28
11793525	475613	0.191
1386965	448835	0.885
3691852	3976855	0.28
2068280	4409511	0.851
721123	857930	0.482
1855991	788005	0.431
5177449	670149	0.36
2742570	4056662	0.99
16823354	201818	0.28
14007662	2168149	0.55
174839	40981485	0.28
150828	2510364	0.36
3691852	547668	1
1396470	2068280	0.482
3629517	53381	0.431
3666283	4613710	0.28
1730453	315264	0.28
2123327	492457	0.191
4465042	5368829	0.191
4524269	4867422	0.191
150828	3172747	0.6
3485207	5175554	0.191
3660758	4765384	0.28
1053870	3237029	0.191
12783	4789076	0.28
16816000	1933837	0.836
1615709	2946713	0.644
1147328	834256	0.431
2903058	5093917	0.28
257902	4853171	0.676
520521	5222487	0.644
14005522	2311896	0.28
1377931	4411366	0.861
116262	194750	0.55
2338264	3410334	0.28
14007084	4083603	0.719
16826696	2338264	0.28
3344377	3741713	0.28
1062659	44533464	0.28
1670185	16822164	0.644
10013539	2201336	0.793
3502869	5199023	0.55
5395599	966425	0.55
1386965	4762389	0.676
10013539	885220	0.431
2725743	4023131	0.705
16832553	971599	0.36
107322	882993	0.55
2889070	3482397	1
1593552	2068280	0.661
2399757	3691852	0.948
1945376	5413323	0.36
2458978	961525	0.28
11437859	1884736	0.976
2886402	882993	0.976
3653750	5402736	0.431
5295829	550375	0.28
1660206	2119668	0.935
5290795	662837	0.994
2036439	2930252	0.28
3832451	547668	0.644
508037	5435096	0.431
4391787	5228967	0.9
2068280	9214020	0.661
2416831	629682	0.591
2785977	377527	0.36
1053870	5309316	0.191
3326851	958086	0.712
4353082	5356665	0.431
3163745	4280011	0.55
3743472	5202298	0.989
3371469	4884340	0.191
3325509	3691852	0.28
3908752	5397065	0.55
3877317	4374234	0.874
2920195	532535	0.431
10012789	9442770	0.28
3363510	396939	0.6
3673111	4899455	0.921
1279185	2191274	0.824
1396470	3095898	0.55
308140	961525	0.431
4855352	5118416	0.191
5202298	799425	0.28
2662282	3262102	0.962
222771	4966191	0.28
14006769	4448821	0.36
3235867	4411179	0.191
2178303	3320868	0.28
1576328	3392054	0.28
3832451	5354181	0.55
11934935	554955	0.888
3559733	4911894	0.28
1692316	2359042	0.55
656326	858777	0.55
336836	5002301	0.36
299897	4783335	0.644
4835623	4874921	0.816
1026809	2497115	0.644
1810929	886751	0.705
14007140	2549751	0.28
1118883	5413323	0.36
16831079	2973208	0.431
2904938	3544063	0.778
4187899	5230193	0.55
1066766	9769294	0.676
2068280	2343933	0.418
1599128	4376561	0.28
1818616	2527994	0.778
3733282	3976855	0.55
1368998	4071702	0.431
5124507	5821236	0.28
14007248	2556014	0.36
1594998	51130236	0.28
2068280	5295829	0.824
4154210	5124712	0.55
3209348	879772	0.28
2296393	4154210	0.55
1146862	1368998	0.28
107322	613199	0.55
14007216	1586035	0.431
2662282	886751	0.978
4042785	508037	0.816
1692316	326265	0.55
4589471	5821236	0.902
