icrogid	uid	hgnc_symbol	entrezgene	ensembl_gene_id
1022235	3227287	MIP	4284	ENSG00000135517
4495587	14006660	MIPEP	4285	ENSG00000027001
4807126	2068280	MIPOL1	145282	ENSG00000151338
305965	3753680	MIS12	79003	ENSG00000167842
1651894	1124639	MIS18A	54069	ENSG00000159055
89266	4750819	MIS18BP1	55320	ENSG00000129534
2228589	2068280	MISP	126353	ENSG00000099812
4615969	4615969	MITD1	129531	ENSG00000158411
238955	1975704	MITF	4286	ENSG00000187098
2803067	4154210	MKI67	4288	ENSG00000148773
2822273	4497883	MKKS	8195	ENSG00000125863
3004504	5347546	MKL1	57591	ENSG00000196588
5347546	1373290	MKL2	57496	ENSG00000186260
822796	1368998	MKLN1	4289	ENSG00000128585
4536176	4732923	MKNK1	8569	ENSG00000079277
5070731	3357491	MKNK2	2872	ENSG00000099875
3439858	1885413	MKRN1	23608	ENSG00000133606
5193331	4264259	MKRN2	23609	ENSG00000075975
476970	4264259	MKRN3	7681	ENSG00000179455
2567060	3170037	MKS1	54903	ENSG00000011143
1918879	3572785	MKX	283078	ENSG00000150051
3850964	2068280	MLANA	2315	ENSG00000120215
2452373	9443119	MLC1	23209	ENSG00000100427
1212402	2981808	MLEC	9761	ENSG00000110917
1490356	3971313	MLF1	4291	ENSG00000178053
2465353	5184439	MLF2	8079	ENSG00000089693
4465042	2522401	MLH1	4292	ENSG00000076242
856157	4465042	MLH3	27030	ENSG00000119684
9148293	9148293	MLIP	90523	ENSG00000146147
4901915	4901915	MLKL	197259	ENSG00000168404
2151993	632859	MLLT1	4298	ENSG00000130382
783824	2525926	MLLT10	8028	ENSG00000078403
23593980	783116	MLLT11	10962	ENSG00000213190
5121081	4474494	MLLT3	4300	ENSG00000171843
4815127	2194565	MLLT4	4301	ENSG00000130396
2528102	851117	MLLT6	4302	ENSG00000275851
2221600	2221600	MLN	4295	ENSG00000096395
1980334	2289770	MLNR	2862	ENSG00000102539
2005795	11934935	MLPH	79083	ENSG00000115648
1274803	1960612	MLST8	64223	ENSG00000167965
658478	2183154	MLX	6945	ENSG00000108788
5347739	3909139	MLXIP	22877	ENSG00000175727
4776726	658478	MLXIPL	51085	ENSG00000009950
899372	1785064	MLYCD	23417	ENSG00000103150
2125431	2125431	MMAA	166785	ENSG00000151611
3017556	3017556	MMAB	326625	ENSG00000139428
31242082	1126960	MMACHC	25974	ENSG00000132763
1126960	1126960	MMADHC	27249	ENSG00000168288
2687131	5176863	MME	4311	ENSG00000196549
32979609	53169531	MMGT1	93380	ENSG00000169446
1902383	4584046	MMP1	4312	ENSG00000196611
263897	1649868	MMP10	4319	ENSG00000166670
144225	4855352	MMP11	4320	ENSG00000099953
2088394	1855991	MMP12	4321	ENSG00000262406
647118	9442795	MMP13	4322	ENSG00000137745
4802061	9442795	MMP14	4323	ENSG00000157227
3512143	9441770	MMP15	4324	ENSG00000102996
3996491	4584046	MMP16	4325	ENSG00000156103
9769109	3971681	MMP17	4326	ENSG00000198598
3081299	3081299	MMP19	4327	ENSG00000123342
3971681	5302676	MMP2	4313	ENSG00000087245
2554489	2554489	MMP20	9313	ENSG00000137674
30869916	4267578	MMP23B	8510	ENSG00000189409
979865	5089550	MMP24	10893	ENSG00000125966
4016727	3723605	MMP25	64386	ENSG00000008516
5147980	5147980	MMP26	56547	ENSG00000167346
4626753	4626753	MMP28	79148	ENSG00000271447
597241	632771	MMP3	4314	ENSG00000149968
4966191	3739030	MMP7	4316	ENSG00000137673
3868639	4584046	MMP8	4317	ENSG00000118113
221385	5147980	MMP9	4318	ENSG00000100985
1759511	2323270	MMRN1	22915	ENSG00000138722
10886317	10886317	MMRN2	79812	ENSG00000173269
4101989	2296393	MMS19	64210	ENSG00000155229
1871269	3272118	MMS22L	253714	ENSG00000146263
2694255	2694255	MN1	4330	ENSG00000169184
654732	1356607	MNAT1	4331	ENSG00000020426
4682640	2186087	MND1	84057	ENSG00000121211
2800298	4863907	MNDA	4332	ENSG00000163563
3095931	799425	MNS1	55329	ENSG00000138587
2541607	3908752	MNT	4335	ENSG00000070444
44347522	44347522	MNX1	3110	ENSG00000130675
4743397	4884208	MOAP1	64112	ENSG00000278268
2122617	2613246	MOB1A	55233	ENSG00000114978
53622	944534	MOB1B	92597	ENSG00000173542
1269957	278641	MOB2	81532	ENSG00000182208
32487101	2271964	MOB3A	126308	ENSG00000172081
1585025	1874148	MOB3B	79817	ENSG00000120162
47152778	47152778	MOB3C	148932	ENSG00000142961
2386483	5017558	MOB4	25843	ENSG00000115540
24754115	2186087	MOBP	4336	ENSG00000168314
9148520	5011796	MOCOS	55034	ENSG00000075643
37208530	37208530	MOCS1	4337	ENSG00000124615
83178	2853646	MOCS2	4338	ENSG00000164172
5029259	5083094	MOCS3	27304	ENSG00000124217
5098314	5098314	MOG	4340	ENSG00000137345
33548838	2186087	MOGAT3	346606	ENSG00000106384
3353711	2979002	MOGS	7841	ENSG00000115275
595207	4764357	MOK	5891	ENSG00000080823
3773331	343045	MON1A	84315	ENSG00000164077
3256767	3256767	MON1B	22879	ENSG00000103111
5349098	2498461	MON2	23041	ENSG00000061987
10724541	1449530	MORC1	27136	ENSG00000114487
30978778	4691983	MORC2	22880	ENSG00000133422
2862019	2812442	MORC3	23515	ENSG00000159256
577372	10724543	MORC4	79710	ENSG00000133131
343518	3667797	MORF4L1	10933	ENSG00000185787
806588	2662282	MORF4L2	9643	ENSG00000123562
41255476	2068280	MORN1	79906	ENSG00000116151
1965883	5220445	MOS	4342	ENSG00000172680
37451675	2068280	MOSPD1	56180	ENSG00000101928
4679172	4679172	MOSPD2	158747	ENSG00000130150
